# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
4810,-21388,-8846,427,1168,-2371,20320,-4264,15148,-5475,-17191,914,5
1146,-32768,-13350,14027,220,-7962,32767,-6472,13816,-2563,-12414,-1801,5
-23894,-32768,-29712,1196,2768,4589,32767,-11602,19716,-1862,-533,-1833,5
-11662,-32768,-1274,5818,-4496,3130,32767,-10326,22542,650,2365,-1225,5
-13586,-32768,-5456,567,-6590,-777,32767,-8902,23272,-3700,9791,1163,5
-6466,-32768,-15582,-310,5225,1325,32767,-6522,16958,1539,6452,1484,5
-2146,-31824,-13700,-5402,3994,914,25774,-3386,12830,3231,8011,2650,5
1918,-19148,-7394,-1434,-2090,2358,15578,-2932,5954,6729,5443,1490,5
154,-9076,-3796,1797,-4153,-211,8008,-172,966,5812,7746,2553,5
3114,1494,-1350,2202,-2308,-2178,-1800,4,-358,7034,9483,5427,5
2672,10790,1430,-1469,-932,-1340,-6114,372,-1458,4413,5884,3016,5
1482,7234,18,-3455,-94,-1325,-4286,2058,-622,2790,-1644,-170,5
3884,1672,-190,399,893,-3442,-2040,2232,-1414,-450,-5742,-1160,5
1672,-1424,-762,157,-177,-2538,1076,486,-1518,-2383,-4368,-749,5
1382,-3444,-1216,823,-713,-196,3164,-1492,-1300,-3363,-2114,-1067,5
960,-3676,-2284,74,-933,496,2242,-1656,-834,-2385,-142,-1138,5
-1068,-1420,-1512,1097,-805,-319,104,-496,-914,-1357,1938,-465,5
542,320,-468,109,-342,-585,-380,482,-316,87,1817,-700,5
1546,820,-410,-481,400,-1233,-64,248,296,1120,445,-830,5
3460,1492,-3414,-3662,3035,-177,1268,-548,4716,4468,-2945,-1879,5
4400,-7604,-5316,-1489,3073,-1595,7320,356,10178,1870,-11599,-2949,5
6928,-21212,-8066,1084,318,-2404,28658,2500,13616,-3467,-19686,-1463,5
2320,-32768,-7914,9426,-378,-4093,32767,-7348,14420,-6082,-9787,-5440,5
-21134,-32768,-30180,889,5667,6279,32767,-9132,18912,-2242,-2265,-1674,5
-9266,-32768,-1506,2434,-3065,5561,32767,-5522,23174,-139,2147,55,5
-11444,-32768,-7434,-2541,-2530,-187,32767,-4124,22004,-5153,5497,106,5
-6044,-32768,-14802,-8935,2897,1646,32767,-6042,15036,-2577,5791,479,5
-2690,-31514,-14162,-1481,-2555,1997,25286,-4404,8444,-2040,9314,2124,5
2964,-16610,-8634,-3218,-3445,1103,13208,-3878,5454,3322,7222,3355,5
3644,-5738,-3914,-756,-3412,-3421,2448,-574,538,3863,7110,4311,5
3518,7298,-1348,-236,-516,-3341,-4892,666,-796,5381,7645,5644,5
1764,13332,1086,-1375,1901,-1422,-7992,1558,-2352,4002,1313,3227,5
3216,6698,2158,-4493,3512,23,-4172,1964,-1946,908,-5650,737,5
1950,892,-186,-2414,982,-1226,1150,1734,-2024,-1736,-8468,-251,5
468,-3700,-1256,-202,-671,-424,3480,-294,-1262,-1672,-6013,306,5
-466,-5284,-1504,310,-1642,388,3602,-1782,-1842,-1976,-3355,307,5
# ---,,,,,,,,,,,,5
-1032,-4054,-742,987,-1992,-181,1992,-1758,-1870,-1871,788,306,5
-990,-1630,-16,355,-2175,-356,1288,-706,-1860,-1135,3672,1203,5
612,198,-196,238,-1538,-374,328,-224,-764,352,4254,952,5
3098,2076,-1572,-1312,765,12,-312,-548,264,2186,1206,88,5
4426,-2624,-3368,-3280,1132,-332,2016,-2322,7062,2002,-6520,-2544,5
2682,-13610,-5174,912,559,-2842,13406,-1348,12374,-907,-13576,-2165,5
5940,-32768,-5346,8798,-198,-4523,32767,-2418,17166,-1976,-21225,-3767,5
-14400,-32768,-31156,5454,6266,10,32767,-8304,16264,-3472,-5676,-6332,5
-15372,-32768,-11532,7383,-4023,2709,32767,-11166,20698,115,723,-2186,5
-10138,-32768,-2528,-472,-3649,2832,32767,-5256,22472,1495,3315,-1259,5
-8908,-32768,-18374,-4719,-4366,-2094,32767,-4240,21182,-715,8143,-1952,5
-4982,-32768,-12600,-4395,3748,2719,31288,-4790,12214,218,6452,-180,5
512,-24120,-12396,-1120,499,-548,18532,-2878,7470,2333,7459,1984,5
1938,-10634,-6750,1877,-1207,-4106,7422,-1412,3066,5042,5262,2564,5
3726,-2160,-3040,1521,-87,-5360,1044,874,-1782,4071,8413,5028,5
2242,11506,1164,-2474,1456,-2611,-4624,802,-1958,5432,6069,3582,5
-156,11746,2554,-3243,618,69,-5302,2250,-2486,2573,-1293,644,5
2736,3456,92,-1282,885,-585,-1334,2032,-1028,144,-6747,-1295,5
2266,-70,-1034,-401,127,21,1638,490,-782,-3359,-6189,-655,5
1650,-3990,-1782,614,987,1394,3102,-1170,-1110,-3692,-3287,-130,5
-152,-5466,-1616,-250,873,638,1148,-1650,-1028,-2784,-586,297,5
-2214,-3588,-916,-807,992,-503,158,-1146,-1032,-1719,1352,241,5
-1628,-76,172,-954,828,-1225,140,-196,-506,-549,2051,-380,5
890,1676,298,-380,1004,-986,532,50,-1204,276,1441,-342,5
3360,1574,-1914,-2825,1622,-596,1722,-1780,3494,2830,-2403,-1608,5
3596,-5356,-6160,-1676,244,-1438,8430,-676,6718,1942,-10901,-2992,5
6996,-18024,-10038,-51,-1374,-2566,23682,984,10202,-2398,-16729,-1233,5
4650,-32768,-9706,8638,-2208,-7366,32767,-4672,10906,-4859,-10112,-3916,5
-18762,-32768,-29142,2497,9548,2439,32767,-8250,15736,-3532,-4065,-2912,5
-7704,-32768,-7594,8148,-6030,3815,32767,-8508,18642,817,968,-9,5
-9132,-32768,-3888,2948,-2325,3090,32767,-4092,20890,-475,5697,1618,5
-6348,-32768,-18214,-8761,331,-753,32767,-2654,18580,-2506,6929,-20,5
-4106,-32768,-15474,675,2318,305,29640,-3648,12222,-524,8063,206,5
-1326,-21696,-9258,-3654,-1023,3231,18956,-2822,7304,1864,6959,2012,5
-1580,-13396,-4608,-1732,-2792,369,11270,-2308,2410,3567,5601,3271,5
194,-5790,-596,1585,-1012,-3069,4518,-1810,-1572,3487,9314,5503,5
992,7408,248,-2912,-933,-2665,-3368,-1524,-1960,5627,8087,4371,5
1232,11622,1012,-795,-2590,-957,-7264,820,-2136,4490,3176,2853,5
4620,4894,-412,-458,-1730,-1170,-4852,2860,-1624,2225,-4405,0,5
4424,1362,-2002,1707,-961,-1270,474,1380,-244,-1062,-6542,-335,5
1874,-3186,-1442,-222,-613,-1481,2630,-366,-846,-1652,-5681,-11,5
748,-4202,-3232,-371,-1740,-938,2836,-1172,-1242,-684,-2122,299,5
-2084,-3792,-1052,-66,-2691,-1019,1852,-1168,-1136,-348,492,500,5
-2248,-1070,-28,1057,-2700,-908,974,-290,-1010,324,2533,1055,5
1424,2820,-2912,-1952,359,1261,1226,-640,2302,1896,1044,426,5
2978,-3162,-4578,-4896,852,477,4110,-976,4076,6487,-5101,-1913,5
5914,-11948,-7744,-213,623,-2754,14064,-442,12188,2356,-13374,-1780,5
6660,-29274,-7066,4653,-1049,-4506,30746,-502,12638,-4041,-15502,180,5
-1312,-32768,-23518,16324,2012,-4233,32767,-10056,18466,-3530,-10329,-6012,5
-30024,-32768,-18806,1323,3588,6462,32767,-6920,15796,-2749,621,-726,5
-3646,-32768,-60,2423,-2249,6716,32767,-6718,18052,-1602,7935,861,5
-8298,-32768,-5042,3229,-6537,2757,32767,-3108,20582,-4731,11540,6,5
-8194,-32768,-15620,-2908,2916,628,29104,-5288,14738,-118,7620,364,5
1200,-25992,-14368,-6160,5203,-3240,19370,-3086,11984,700,6512,1136,5
7658,-15180,-11480,-1829,-725,-4224,12558,-616,5684,4397,2062,1204,5
1460,-6630,-2330,4066,-4040,-2681,8722,-38,464,1883,6233,2843,5
1086,2110,-1212,-796,-3302,-302,272,-798,-1586,3863,9299,3710,5
320,8224,16,-1010,44,2053,-5984,312,-2264,3838,5998,1643,5
932,7754,1388,-237,2775,449,-6090,2762,-2036,884,-1341,-1165,5
3982,2686,466,536,4303,-980,-464,1784,-1356,-3095,-6776,-1781,5
2472,-1756,282,-601,1057,-1381,2184,-1008,-970,-4983,-6068,-379,5
-506,-4758,-784,-598,-1774,-1047,2792,-2112,-1828,-4078,-3399,9,5
-2628,-4370,-894,1172,-1737,-705,2166,-2104,-1992,-2150,-23,-69,5
# ---,,,,,,,,,,,,5
-2704,-2260,-1410,1387,-2223,-956,1348,-370,-876,683,1503,-711,5
976,956,-1690,260,-1522,-647,1096,-158,148,2017,2238,-194,5
4800,-1414,-3310,-1963,1360,194,3014,-812,4452,3354,-4316,-2037,5
6704,-9574,-6696,30,2132,-855,12950,1000,9228,2371,-10779,-1812,5
5104,-24732,-6216,479,-1009,-3993,23876,524,12146,-1327,-15004,-708,5
1606,-32768,-12126,6759,2613,-3840,32767,-3328,11818,-3084,-11090,-5197,5
-16076,-32768,-21474,5927,3367,4145,32767,-6698,15068,-1613,-3507,-3523,5
-9020,-32768,-3356,3480,-2795,6145,32767,-5612,19880,639,3076,-729,5
-9328,-32768,-9334,-1633,-857,1775,32767,-2734,19140,-1714,4737,536,5
-4240,-32768,-14350,-4483,2680,-2169,32410,-2654,16068,-3317,4846,1451,5
788,-30766,-12806,-4395,1226,900,24540,-2048,11072,451,4949,1093,5
-492,-19790,-8312,-156,-2107,1501,18946,-1728,5566,2721,5601,1424,5
-960,-10116,-2352,-2090,-1542,183,12760,-1088,1904,2800,7544,1738,5
438,-4680,-1092,550,-762,-683,3918,-162,-1000,1862,10487,3448,5
-176,4066,154,811,863,-599,-3506,578,-1776,1601,8958,2903,5
2220,8556,250,-1693,1006,-1584,-7468,-20,-1600,585,2621,1717,5
3102,6802,146,-846,367,-2165,-4250,672,-1302,620,-4496,268,5
2580,1664,-750,-679,-1229,-1463,992,726,-1624,-822,-5808,762,5
22,-1692,-1358,-949,-2093,-1206,2144,130,-1758,-824,-4615,828,5
-692,-3106,-1914,-900,-2488,-453,1840,-774,-1318,-290,-2520,735,5
-332,-2816,-1938,-337,-3107,-806,1668,-322,-1218,-540,-367,1187,5
970,-1290,-1436,-921,-1627,-538,2252,-1254,-82,2298,780,971,5
2384,-3248,-2354,-3332,123,52,3194,-2032,5574,3798,-2725,-198,5
4146,-9394,-5490,-1922,197,-1880,10246,238,8086,3956,-9095,-968,5
7360,-21516,-8858,1042,-276,-2554,24888,954,13364,652,-17231,-1449,5
8914,-32768,-19124,13766,-1487,-3315,32767,-5516,21102,-4512,-18067,-5273,5
-26896,-32768,-25754,3853,6141,5836,32767,-6872,10524,-4633,-1838,105,5
-12856,-32768,3242,4350,-5038,7874,32767,-9598,14628,286,4633,2429,5
-13256,-32768,-1008,2797,-4979,6407,32767,-5598,16780,-2769,11731,1426,5
-11692,-32768,-11960,-144,585,-985,32767,-2834,17582,-1372,10279,1609,5
-3230,-27624,-12732,-10763,3826,-1867,19900,-2120,13782,-440,7812,2676,5
2316,-22584,-14876,-7385,112,-4160,14218,-1502,10812,3608,1443,1608,5
1142,-11448,-7976,-476,-2899,-4942,11808,-190,3838,3687,459,1170,5
2452,-5480,-1546,313,-3316,-3023,6078,-560,-852,1643,6808,4260,5
144,3230,-1218,-2007,-2884,554,-1142,-1162,-2400,1119,8362,3198,5
3652,8754,964,-389,539,1186,-4672,1184,-2470,-44,4621,1041,5
4024,5032,1652,167,3740,-1383,-4012,900,-1510,-1787,-3968,-1982,5
3354,1368,516,-260,5688,-2298,-306,28,-1162,-3782,-7568,-1783,5
