# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
-1286,-16454,-4874,294,920,-291,14678,-4892,6058,-924,-659,1337,2
-1580,-16260,-4830,-139,986,-304,15166,-5380,6128,-2027,-1151,1542,2
-1376,-16288,-4982,1768,757,-328,14808,-5132,5026,-2712,-336,1884,2
-1018,-15770,-5310,834,48,-503,13696,-5086,4948,-1547,1039,1325,2
-962,-16232,-5326,1203,-107,-472,13838,-5496,5914,-326,813,772,2
-1004,-15954,-4966,1306,9,-352,13918,-5486,5420,320,300,556,2
-1084,-15768,-5010,921,153,-226,13880,-5148,5826,91,101,371,2
-1148,-15968,-5006,343,343,-183,13916,-5168,5590,1059,889,-20,2
-1106,-16074,-4916,-464,552,-118,14472,-5398,6968,1115,94,-274,2
-1194,-16246,-5266,-484,185,-252,15250,-4986,7132,-1435,-1640,528,2
-1104,-16384,-5362,-48,-286,-304,14536,-5636,5898,-1661,-847,384,2
# ---,,,,,,,,,,,,2
-1036,-16486,-5004,67,-458,-241,15054,-5610,6722,-2380,-2079,217,2
-1076,-16292,-4800,-96,-522,-229,14546,-6094,5224,-3005,-2244,642,2
-962,-16244,-4940,-255,-391,-282,13156,-6004,4326,-75,-460,-137,2
-1004,-16246,-4894,-301,-275,-385,13964,-5904,5604,1643,-902,-650,2
-1066,-16274,-4888,44,-456,-422,14544,-5586,5462,1507,-1199,-402,2
-886,-16262,-4932,108,-545,-404,14114,-5548,5244,1750,-351,-979,2
-870,-16374,-4862,180,-567,-419,14240,-5462,5204,2185,199,-1478,2
-1028,-16378,-4994,214,-407,-488,14692,-5304,5996,2272,16,-1388,2
-1108,-16430,-5010,211,-345,-535,14878,-5208,6514,1276,-719,-1090,2
-948,-16264,-4994,234,-356,-483,14908,-5092,5876,421,-474,-1058,2
-808,-16168,-4970,444,-360,-507,14728,-4976,5798,199,-27,-1310,2
-948,-16098,-4838,362,-159,-550,14804,-4916,6546,254,-311,-1416,2
-1198,-16230,-4796,117,94,-582,14580,-4320,5554,-528,-422,-1038,2
-1192,-16094,-4874,296,-19,-625,13906,-4804,5188,513,318,-1623,2
-1196,-16150,-4818,265,-71,-622,14548,-5064,7130,1116,-582,-1920,2
-1006,-16198,-4762,177,154,-623,14674,-4546,5780,462,-763,-1638,2
-820,-16116,-4860,495,-151,-555,14472,-4176,5346,1824,421,-2005,2
-968,-16188,-4816,541,-205,-554,14906,-4268,6982,1462,-262,-2136,2
-1092,-16154,-4658,551,-34,-494,14438,-4074,5514,1491,155,-2255,2
-1174,-16224,-4722,551,-78,-487,14412,-3888,5588,2290,1029,-2458,2
-1212,-16296,-4850,558,-288,-560,15048,-4012,7778,1956,785,-1901,2
-1026,-16120,-4776,377,-283,-588,15112,-3530,6024,1389,749,-1670,2
-912,-16166,-4838,502,-326,-672,14644,-3240,6066,1898,1408,-1998,2
-1038,-16324,-4786,517,-363,-665,14900,-3354,7824,1536,1300,-1928,2
-858,-16012,-4654,536,-157,-462,14980,-3722,6436,744,880,-2131,2
-794,-16096,-4762,223,-198,-344,14764,-2824,6490,1528,1776,-1779,2
-1044,-16168,-4908,233,-84,-377,14350,-2694,7110,989,2052,-1477,2
-1086,-16178,-4900,390,289,-377,14568,-3450,6472,493,1773,-1813,2
-1090,-16148,-4822,453,-6,-421,14662,-3522,7008,723,1661,-1604,2
-926,-16036,-4692,376,-181,-279,14496,-3060,6552,261,1558,-1225,2
-1008,-15990,-4804,200,-14,-275,14646,-3122,6708,14,1391,-1404,2
-1134,-16010,-4812,348,-147,-399,14652,-3534,7130,-46,1279,-1392,2
-1020,-15860,-4750,354,-246,-361,14698,-3222,6772,-411,742,-1113,2
-850,-15846,-4946,-2,-216,-324,14992,-2964,6720,-770,402,-755,2
-898,-16180,-5014,133,-591,-380,14712,-3204,6982,-676,408,-329,2
-1334,-16384,-4832,445,-704,-439,14944,-3146,7088,-302,117,-163,2
-1274,-16330,-4830,232,-588,-480,15054,-3080,6960,170,14,-20,2
-1168,-16136,-4822,87,-763,-570,14754,-3106,7092,499,-218,196,2
-1022,-16024,-4826,79,-649,-574,14718,-2706,6894,494,-498,490,2
-978,-16006,-4756,-53,-677,-540,14684,-2890,7142,976,-812,378,2
-1004,-16130,-4808,-122,-1064,-502,14638,-2798,7614,692,-1074,476,2
-1130,-16428,-4884,-63,-915,-501,14604,-2606,6990,663,-1004,554,2
-1058,-16196,-4962,-87,-727,-535,15028,-3050,6918,811,-1301,550,2
-848,-15994,-4910,-120,-637,-540,14946,-3176,7158,742,-1523,1030,2
-774,-16020,-4822,-99,-381,-379,14678,-2692,6940,537,-1532,1285,2
-808,-16078,-4794,-167,-165,-183,15046,-2684,7132,90,-1622,1323,2
-964,-16166,-4950,-269,-11,-120,14918,-2726,6958,-570,-1850,1566,2
-944,-16182,-5140,-277,230,-118,14596,-2772,7154,-1159,-2176,1636,2
-882,-16162,-4950,-105,422,-91,15056,-3006,7000,-1801,-2151,1833,2
-924,-16038,-4832,-40,444,-34,15122,-3182,6688,-2310,-1914,1982,2
-1110,-16190,-4862,-251,333,24,14766,-3470,6390,-2853,-1653,1743,2
-1132,-16316,-4964,-137,364,45,14746,-3666,6482,-2635,-1254,1774,2
-1066,-16184,-4798,6,499,19,14664,-3686,6346,-2775,-1098,2121,2
-1102,-16042,-4706,-223,484,32,14062,-3814,6704,-3341,-1339,2080,2
-1158,-15978,-4646,-358,496,82,14434,-4100,6508,-3068,-231,1917,2
-1154,-15988,-4592,-436,572,212,15066,-4252,6598,-3151,544,2149,2
-1198,-16098,-4762,-781,519,263,14716,-4308,6128,-3544,-98,1844,2
-1314,-16402,-5118,-632,384,53,14482,-4358,5734,-2859,-174,1691,2
-1334,-16600,-5172,-274,452,-70,14820,-4654,5816,-2699,-605,1935,2
-1108,-16292,-5142,195,155,-99,14664,-5004,5796,-2310,-678,2016,2
-892,-16088,-5028,513,43,-144,14416,-4644,5902,-2415,-1167,2150,2
-992,-16222,-4834,253,393,-73,14368,-4980,5544,-1954,-969,1832,2
-1040,-16048,-4888,649,440,3,14316,-5310,5712,-1377,-411,1334,2
# ---,,,,,,,,,,,,2
-966,-16234,-4894,668,417,-30,14256,-5078,5676,-1365,-108,1289,2
-1024,-16264,-4672,583,280,-155,14702,-5218,5290,-1321,1086,1421,2
-1296,-16508,-4710,420,233,-271,14754,-5284,6298,-1473,1347,1792,2
-1420,-16288,-4884,-72,183,-362,14224,-4788,6072,-2399,1366,1894,2
-990,-15840,-5134,83,200,-308,13894,-5696,5518,-2058,1447,820,2
-524,-15896,-5138,579,45,-243,13474,-5642,5286,-755,1531,388,2
-660,-16058,-5054,682,112,-185,13522,-5754,6080,-178,799,79,2
-1266,-16074,-5042,547,399,-160,14074,-6092,5974,-117,82,-41,2
-1264,-16054,-5276,168,310,-186,14018,-5946,6098,552,163,-222,2
-1198,-16154,-5024,326,305,-386,13960,-5660,6372,753,-238,-432,2
-1318,-16260,-4848,508,323,-461,14460,-6124,6540,793,-585,-598,2
-1336,-16230,-4816,437,-58,-475,14928,-5910,7010,-245,-1448,-49,2
-1308,-16300,-4886,167,-466,-533,14468,-5750,6160,-1085,-1902,307,2
-1570,-16450,-4956,-69,-599,-716,14314,-5900,5234,-157,-1031,-75,2
